REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964534,8.1.2.3.4,53.7,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964541,8.1.2.4.4,9.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964541,8.1.2.4.4,11.8,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964541,8.1.2.4.4,16.9,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964548,8.1.2.5.4,17.2,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964548,8.1.2.5.4,18.1,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964548,8.1.2.5.4,15.9,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Mood disorder,Percent,Percent,239,units,0,v1806964590,8.1.2.11.4,6.8,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Mood disorder,Percent,Percent,239,units,0,v1806964590,8.1.2.11.4,7.5,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Mood disorder,Percent,Percent,239,units,0,v1806964590,8.1.2.11.4,10.7,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Anxiety disorder,Percent,Percent,239,units,0,v1806964597,8.1.2.12.4,10.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Anxiety disorder,Percent,Percent,239,units,0,v1806964597,8.1.2.12.4,9.4,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Anxiety disorder,Percent,Percent,239,units,0,v1806964597,8.1.2.12.4,,..,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964618,8.1.2.15.4,32,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964618,8.1.2.15.4,38.9,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964618,8.1.2.15.4,30.9,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Heavy drinking,Percent,Percent,239,units,0,v1806964646,8.1.2.19.4,29.9,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Heavy drinking,Percent,Percent,239,units,0,v1806964646,8.1.2.19.4,27.1,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,Heavy drinking,Percent,Percent,239,units,0,v1806964646,8.1.2.19.4,25.6,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964660,8.1.2.23.4,79.2,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964660,8.1.2.23.4,75.9,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964660,8.1.2.23.4,69,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964695,8.1.3.3.4,58.8,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964695,8.1.3.3.4,55.5,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964695,8.1.3.3.4,46,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Females,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964702,8.1.3.4.4,11.4,,,,1
