Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,17.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,10.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,13.0,,,ED
2020–2021,Mood disorders,Female,Agegroup:10–14years–Rate,355.0,,,ED
2020–2021,Mood disorders,Male,Agegroup:10–14years–Rate,88.0,,,ED
2020–2021,Mood disorders,Total,Agegroup:10–14years–Rate,217.0,,,ED
2020–2021,Anxiety disorders,Female,Agegroup:10–14years–Rate,310.0,,,ED
2020–2021,Anxiety disorders,Male,Agegroup:10–14years–Rate,101.0,,,ED
2020–2021,Anxiety disorders,Total,Agegroup:10–14years–Rate,203.0,,,ED
2020–2021,Personality disorders,Female,Agegroup:10–14years–Rate,18.0,,,ED
2020–2021,Personality disorders,Male,Agegroup:10–14years–Rate,5.0,,,ED
2020–2021,Personality disorders,Total,Agegroup:10–14years–Rate,12.0,,,ED
2020–2021,Other disorders,Female,Agegroup:10–14years–Rate,496.0,,,ED
2020–2021,Other disorders,Male,Agegroup:10–14years–Rate,251.0,,,ED
2020–2021,Other disorders,Total,Agegroup:10–14years–Rate,370.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–Rate,333.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–Rate,142.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–Rate,235.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–Rate,40.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–Rate,51.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–Rate,45.0,,,ED
2020–2021,   Eating and feeding disorders,Female,Agegroup:10–14years–Rate,57.0,,,ED
2020–2021,   Eating and feeding disorders,Male,Agegroup:10–14years–Rate,4.0,,,ED
2020–2021,   Eating and feeding disorders,Total,Agegroup:10–14years–Rate,30.0,,,ED
2020–2021,   Tic disorders,Female,Agegroup:10–14years–Rate,30.0,,,ED
2020–2021,   Tic disorders,Male,Agegroup:10–14years–Rate,10.0,,,ED
2020–2021,   Tic disorders,Total,Agegroup:10–14years–Rate,20.0,,,ED
2020–2021,   ADHD,Female,Agegroup:10–14years–Rate,20.0,,,ED
2020–2021,   ADHD,Male,Agegroup:10–14years–Rate,29.0,,,ED
2020–2021,   ADHD,Total,Agegroup:10–14years–Rate,24.0,,,ED
2021–2022,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,9.0,,,ED
2021–2022,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,8.0,,,ED
